parroquia,z_ebp,ee,cv
110552,403.01,85.06572042014672,0.21107595449280842
110553,323.92,44.105397891504495,0.13616139136670935
110554,345.85,72.70087462373354,0.21020926593532901
110650,457.48,64.17322190593127,0.14027546976027644
110651,246.7,36.40235939515008,0.14755719252188926
110652,350.25,53.9695242019281,0.15408857730743214
110653,298.82,37.94648404692659,0.12698776536686499
110654,350.03,63.50190765959405,0.18141847172983475
110655,222.59,39.863114640413094,0.17908762586105886
110656,352.11,65.43232589512739,0.1858292178442174
110750,609.77,68.90610469955003,0.11300343522893883
110751,403.02,77.23427268591738,0.19163880870904018
110753,223.98,40.20805562972718,0.1795162765859772
110754,360.05,48.34853397956093,0.13428283288310217
110756,280.12,32.792995811688925,0.1170676703258922
110850,608.37,30.52078745940689,0.05016813363480594
110851,261.98,43.92888367584686,0.16768029496849707
110852,307.65,53.950580828843584,0.17536350017501573
110853,348.55,51.05960302629153,0.1464914733217373
110950,605.88,39.553465073549795,0.06528267160749619
110951,378.11,75.43672090987293,0.19950998627349958
110952,297.0,37.011400189460076,0.12461750905542113
110954,307.23,36.177231904660175,0.11775292746365972
110956,380.79,35.585075224050094,0.09345065580516844
110957,327.61,63.23155979477875,0.1930086376935342
110958,351.47,69.36000708778373,0.19734260986082375
110959,234.49,48.265226912654335,0.2058306405930075
111050,618.48,31.11268893226303,0.050305084937690835
111051,359.14,47.11580643031942,0.13119063994631458
111052,439.99,54.48956433211319,0.12384273354420143
111053,290.41,49.20931789074377,0.16944773902669938
111054,408.89,51.58864665394542,0.12616754299186925
111055,378.94,74.32378254769628,0.1961360177012094
111150,685.29,32.819841753417805,0.047891902338306126
111151,425.0,73.89633102431989,0.17387372005722326
111152,322.04,57.88448661950517,0.17974315805336344
111153,316.45,31.445126589142372,0.09936838865268564
111154,360.33,65.08071841560908,0.18061421035053724
111155,354.57,42.69782157991627,0.12042141630684004
111156,436.22,51.29044327571196,0.11757930236053357
111157,255.83,49.121552318126454,0.19200856943332076
111158,443.53,75.8261433081906,0.17096057382407187
111159,295.96,57.259905349700716,0.19347177101534235
111160,235.6,41.033404458042064,0.1741655537268339
111250,366.93,49.23385230843187,0.13417777861835192
111251,350.09,66.82123386174534,0.1908687305028574
111252,314.45,64.77618880217254,0.20599837431124993
111350,528.58,36.71663506603381,0.06946277775555981
111351,392.07,74.80503175556437,0.190795092089587
111352,308.4,56.574400615203686,0.18344487877822208
111353,302.6,52.76167652080605,0.17436112531660952
111354,321.03,62.31198150786054,0.19410018225044556
111355,350.25,39.408099446084044,0.11251420255841268
111356,314.69,66.92767093341807,0.21267809887005648
111450,554.89,53.86469100738633,0.09707273695216408
111451,325.86,61.41547060473393,0.18847195300047237
111452,325.47,42.3962235520377,0.13026154039400775
111453,250.6,45.70315422264067,0.18237491708954776
111550,518.79,55.80527164145134,0.10756813285038522
111551,348.26,72.66243499650562,0.20864421695430319
111552,342.67,59.00962594340446,0.17220540445152613
111650,261.51,39.68501716219888,0.15175334466062057
111651,332.92,55.17225001606607,0.16572224563278287
